date,warehouse,product_line,net_revenue
2021-07-21,Central,Engine,305.57
2021-07-21,Central,Breaking system,209.68
2021-07-21,West,Suspension & traction,157.51
2021-07-21,North,Miscellaneous,143.58
2021-07-21,North,Suspension & traction,62.56
2021-07-20,North,Miscellaneous,1071.96
2021-07-20,North,Electrical system,1017.48
2021-07-20,Central,Suspension & traction,637.29
2021-07-20,West,Engine,429.07
2021-07-20,Central,Frame & body,308.09
2021-07-20,North,Engine,292.33
2021-07-20,Central,Breaking system,60.83
2021-07-20,North,Breaking system,49.49
2021-07-19,North,Suspension & traction,737.68
2021-07-19,North,Breaking system,645.59
2021-07-19,Central,Electrical system,529.74
2021-07-19,North,Electrical system,108.32
2021-07-19,West,Breaking system,70.11
2021-07-18,North,Breaking system,787.59
2021-07-18,West,Miscellaneous,504.63
2021-07-18,North,Frame & body,447.14
2021-07-18,Central,Frame & body,369.99
2021-07-18,Central,Electrical system,368.44
2021-07-18,North,Suspension & traction,318.39
2021-07-18,West,Frame & body,312.65
2021-07-18,North,Electrical system,208.17
2021-07-18,Central,Suspension & traction,134.84
2021-07-17,Central,Frame & body,419.85
2021-07-17,Central,Breaking system,226.77
2021-07-17,West,Breaking system,172.42
2021-07-17,West,Electrical system,147.71
2021-07-17,Central,Suspension & traction,135.04
2021-07-17,North,Miscellaneous,122.29
2021-07-16,Central,Breaking system,1138.64
2021-07-16,West,Electrical system,848.99
2021-07-16,Central,Electrical system,825.53
2021-07-16,Central,Suspension & traction,497.19
2021-07-16,Central,Engine,357.59
2021-07-16,North,Suspension & traction,293.28
2021-07-16,West,Breaking system,260.96
2021-07-16,Central,Miscellaneous,236.1
2021-07-16,Central,Frame & body,192.21
2021-07-16,North,Electrical system,115.26
2021-07-16,West,Frame & body,112.37
2021-07-16,North,Breaking system,102.07
2021-07-16,North,Miscellaneous,73.55
2021-07-16,West,Suspension & traction,41.47
2021-07-15,Central,Frame & body,1213.71
2021-07-15,Central,Miscellaneous,717.73
2021-07-15,North,Suspension & traction,332.75
2021-07-15,West,Miscellaneous,239.16
2021-07-15,North,Frame & body,122.32
2021-07-15,West,Engine,119.44
2021-07-15,Central,Electrical system,117.16
2021-07-15,North,Electrical system,31.88
2021-07-14,Central,Frame & body,360.48
2021-07-14,West,Breaking system,190.64
2021-07-14,Central,Breaking system,150.9
2021-07-14,Central,Miscellaneous,126.49
2021-07-14,North,Suspension & traction,121.5
2021-07-14,North,Electrical system,29.47
2021-07-13,Central,Suspension & traction,1402.53
2021-07-13,Central,Miscellaneous,278.5
2021-07-13,North,Electrical system,247.89
2021-07-13,Central,Breaking system,193.16
2021-07-13,North,Frame & body,90.54
2021-07-13,West,Breaking system,68.23
2021-07-13,Central,Electrical system,23.25
2021-07-12,Central,Miscellaneous,1048.0
2021-07-12,West,Suspension & traction,788.97
2021-07-12,Central,Engine,576.14
2021-07-12,West,Breaking system,418.87
2021-07-12,North,Frame & body,196.51
2021-07-12,North,Suspension & traction,115.04
2021-07-12,Central,Suspension & traction,113.52
2021-07-11,Central,Suspension & traction,872.25
2021-07-11,Central,Electrical system,711.99
2021-07-11,North,Breaking system,655.2
2021-07-11,West,Breaking system,575.77
2021-07-11,Central,Frame & body,156.56
2021-07-11,North,Miscellaneous,103.82
2021-07-11,West,Electrical system,44.49
2021-07-11,North,Suspension & traction,37.34
2021-07-10,North,Frame & body,1481.6
2021-07-10,Central,Suspension & traction,1160.24
2021-07-10,North,Miscellaneous,690.24
2021-07-10,West,Engine,641.02
2021-07-10,Central,Electrical system,362.8
2021-07-10,West,Suspension & traction,162.45
2021-07-10,West,Breaking system,133.3
2021-07-10,Central,Breaking system,65.57
2021-07-10,Central,Miscellaneous,50.54
2021-07-10,North,Breaking system,13.64
2021-07-09,West,Breaking system,981.4
2021-07-09,Central,Frame & body,704.54
2021-07-09,Central,Suspension & traction,418.52
2021-07-09,North,Frame & body,334.03
2021-07-09,North,Breaking system,259.92
2021-07-09,West,Frame & body,220.81
2021-07-09,Central,Electrical system,160.01
2021-07-09,Central,Breaking system,13.92
2021-07-08,Central,Electrical system,1098.06
2021-07-08,Central,Engine,598.25
2021-07-08,North,Engine,519.47
2021-07-08,Central,Suspension & traction,452.48
2021-07-08,Central,Breaking system,380.81
2021-07-08,North,Suspension & traction,353.99
2021-07-08,Central,Miscellaneous,320.41
2021-07-08,North,Miscellaneous,205.32
2021-07-08,West,Electrical system,187.81
2021-07-08,North,Frame & body,40.93
2021-07-08,Central,Frame & body,35.03
2021-07-07,Central,Electrical system,1215.58
2021-07-07,Central,Suspension & traction,956.64
2021-07-07,North,Suspension & traction,749.76
2021-07-07,Central,Breaking system,369.55
2021-07-07,North,Engine,279.73
2021-07-07,Central,Miscellaneous,150.01
2021-07-07,West,Electrical system,31.62
2021-07-07,West,Miscellaneous,22.07
2021-07-06,Central,Breaking system,596.7
2021-07-06,Central,Engine,537.36
2021-07-06,North,Suspension & traction,403.76
2021-07-06,West,Electrical system,281.0
2021-07-06,West,Engine,199.1
2021-07-06,North,Frame & body,137.6
2021-07-06,Central,Miscellaneous,127.27
2021-07-06,Central,Frame & body,72.16
2021-07-06,North,Miscellaneous,27.98
2021-07-06,North,Breaking system,13.44
2021-07-05,North,Electrical system,788.04
2021-07-05,Central,Suspension & traction,341.52
2021-07-05,North,Frame & body,202.55
2021-07-05,West,Electrical system,170.77
2021-07-05,North,Suspension & traction,147.97
2021-07-05,West,Suspension & traction,109.32
2021-07-05,Central,Breaking system,89.57
2021-07-05,North,Breaking system,65.75
2021-07-05,Central,Miscellaneous,24.63
2021-07-04,Central,Miscellaneous,1006.27
2021-07-04,Central,Frame & body,686.73
2021-07-04,North,Suspension & traction,656.99
2021-07-04,West,Frame & body,598.18
2021-07-04,North,Breaking system,301.6
2021-07-04,North,Miscellaneous,89.4
2021-07-04,Central,Breaking system,17.3
2021-07-03,North,Frame & body,1341.44
2021-07-03,Central,Breaking system,845.25
2021-07-03,North,Breaking system,620.87
2021-07-03,Central,Suspension & traction,599.97
2021-07-03,West,Miscellaneous,214.37
2021-07-03,North,Miscellaneous,151.6
2021-07-03,Central,Electrical system,147.3
2021-07-03,West,Electrical system,135.49
2021-07-03,West,Breaking system,96.95
2021-07-03,North,Engine,53.06
2021-07-02,West,Suspension & traction,1384.74
2021-07-02,North,Frame & body,1257.76
2021-07-02,North,Engine,1007.15
2021-07-02,Central,Suspension & traction,259.6
2021-07-02,West,Breaking system,137.48
2021-07-02,North,Miscellaneous,78.53
2021-07-01,Central,Electrical system,1509.43
2021-07-01,West,Breaking system,793.07
2021-07-01,West,Suspension & traction,498.83
2021-07-01,North,Suspension & traction,491.45
2021-07-01,West,Frame & body,335.62
2021-07-01,Central,Frame & body,325.9
2021-07-01,Central,Breaking system,226.66
2021-07-01,Central,Suspension & traction,195.35
2021-07-01,North,Breaking system,135.12
2021-06-30,West,Miscellaneous,1337.65
2021-06-30,Central,Suspension & traction,820.49
2021-06-30,North,Suspension & traction,487.56
2021-06-30,West,Frame & body,129.19
2021-06-30,Central,Electrical system,82.43
2021-06-29,North,Frame & body,907.78
2021-06-29,North,Suspension & traction,791.23
2021-06-29,Central,Frame & body,377.78
2021-06-29,West,Electrical system,264.6
2021-06-29,Central,Breaking system,220.32
2021-06-29,West,Frame & body,219.15
2021-06-29,North,Breaking system,199.86
2021-06-29,Central,Miscellaneous,164.05
2021-06-29,West,Breaking system,92.08
2021-06-29,Central,Engine,56.72
2021-06-29,North,Electrical system,23.1
2021-06-28,Central,Engine,2786.34
2021-06-28,Central,Suspension & traction,1289.41
2021-06-28,Central,Electrical system,736.99
2021-06-28,Central,Frame & body,417.1
2021-06-28,West,Frame & body,374.63
2021-06-28,North,Suspension & traction,232.24
2021-06-28,West,Electrical system,118.77
2021-06-28,North,Miscellaneous,106.79
2021-06-28,Central,Breaking system,61.52
2021-06-27,Central,Electrical system,977.13
2021-06-27,Central,Breaking system,624.42
2021-06-27,North,Engine,477.63
2021-06-27,Central,Frame & body,357.27
2021-06-27,Central,Suspension & traction,331.68
2021-06-27,West,Suspension & traction,276.41
2021-06-27,Central,Engine,264.11
2021-06-27,North,Frame & body,193.54
2021-06-27,West,Miscellaneous,170.24
2021-06-27,North,Miscellaneous,161.71
2021-06-27,North,Breaking system,121.66
2021-06-27,North,Suspension & traction,54.01
2021-06-27,North,Electrical system,28.88
2021-06-26,Central,Electrical system,1301.38
2021-06-26,Central,Miscellaneous,745.34
2021-06-26,West,Frame & body,408.1
2021-06-26,Central,Breaking system,291.49
2021-06-26,Central,Frame & body,209.62
2021-06-26,North,Electrical system,176.97
2021-06-26,Central,Suspension & traction,117.03
2021-06-26,West,Breaking system,91.54
2021-06-26,North,Breaking system,22.24
2021-06-25,North,Suspension & traction,810.95
2021-06-25,North,Frame & body,640.13
2021-06-25,West,Engine,445.75
2021-06-25,Central,Electrical system,418.25
2021-06-25,West,Frame & body,405.28
2021-06-25,Central,Miscellaneous,290.23
2021-06-25,Central,Breaking system,141.55
2021-06-25,West,Breaking system,78.34
2021-06-25,Central,Frame & body,73.96
2021-06-25,Central,Engine,66.02
2021-06-25,North,Breaking system,20.68
2021-06-24,North,Electrical system,1087.97
2021-06-24,Central,Frame & body,684.08
2021-06-24,North,Frame & body,464.62
2021-06-24,Central,Electrical system,439.02
2021-06-24,Central,Suspension & traction,186.07
2021-06-24,North,Breaking system,182.24
2021-06-24,West,Suspension & traction,153.01
2021-06-24,Central,Breaking system,71.61
2021-06-23,Central,Breaking system,583.19
2021-06-23,North,Engine,568.73
2021-06-23,West,Suspension & traction,526.35
2021-06-23,West,Frame & body,483.0
2021-06-23,North,Miscellaneous,369.97
2021-06-23,West,Electrical system,325.31
2021-06-23,Central,Suspension & traction,233.77
2021-06-23,North,Suspension & traction,216.06
2021-06-23,Central,Electrical system,123.0
2021-06-23,West,Breaking system,92.33
2021-06-23,North,Breaking system,70.06
2021-06-22,Central,Engine,877.13
2021-06-22,North,Suspension & traction,427.34
2021-06-22,Central,Suspension & traction,157.82
2021-06-22,Central,Breaking system,65.72
2021-06-21,North,Suspension & traction,451.17
2021-06-21,West,Engine,399.19
2021-06-21,North,Electrical system,178.7
2021-06-21,North,Breaking system,115.15
2021-06-21,West,Miscellaneous,99.32
2021-06-21,North,Miscellaneous,67.34
2021-06-21,Central,Frame & body,49.69
2021-06-20,West,Suspension & traction,1276.0
2021-06-20,Central,Frame & body,754.48
2021-06-20,North,Breaking system,607.36
2021-06-20,North,Electrical system,414.67
2021-06-20,North,Suspension & traction,370.58
2021-06-20,West,Electrical system,191.43
2021-06-20,Central,Suspension & traction,161.55
2021-06-20,North,Frame & body,97.71
2021-06-20,West,Breaking system,87.49
2021-06-19,North,Frame & body,1153.01
2021-06-19,North,Suspension & traction,962.11
2021-06-19,West,Suspension & traction,296.49
2021-06-19,North,Miscellaneous,283.12
2021-06-19,Central,Suspension & traction,202.89
2021-06-19,West,Miscellaneous,164.24
2021-06-19,Central,Electrical system,149.47
2021-06-19,North,Breaking system,149.1
2021-06-19,Central,Frame & body,131.53
2021-06-19,West,Breaking system,73.06
2021-06-19,West,Frame & body,46.82
2021-06-18,Central,Frame & body,1743.78
2021-06-18,North,Frame & body,1156.24
2021-06-18,North,Suspension & traction,400.97
2021-06-18,Central,Breaking system,399.12
2021-06-18,North,Breaking system,276.3
2021-06-18,Central,Miscellaneous,133.05
2021-06-18,West,Electrical system,23.24
2021-06-17,Central,Frame & body,986.61
2021-06-17,Central,Suspension & traction,443.17
2021-06-17,North,Frame & body,414.91
2021-06-17,Central,Miscellaneous,378.05
2021-06-17,North,Miscellaneous,268.68
2021-06-17,Central,Electrical system,217.09
2021-06-17,North,Suspension & traction,171.52
2021-06-16,North,Suspension & traction,1423.73
2021-06-16,Central,Frame & body,664.36
2021-06-16,Central,Miscellaneous,458.79
2021-06-16,Central,Suspension & traction,409.3
2021-06-16,Central,Breaking system,127.04
2021-06-16,North,Frame & body,97.73
2021-06-15,Central,Engine,2389.85
2021-06-15,North,Suspension & traction,1596.69
2021-06-15,Central,Frame & body,1174.88
2021-06-15,Central,Suspension & traction,412.28
2021-06-15,West,Suspension & traction,343.12
2021-06-15,North,Frame & body,255.62
2021-06-15,North,Electrical system,241.32
2021-06-15,Central,Electrical system,146.38
2021-06-15,West,Miscellaneous,81.2
2021-06-15,North,Breaking system,44.59
2021-06-15,Central,Breaking system,41.17
2021-06-14,North,Breaking system,665.73
2021-06-14,Central,Electrical system,528.87
2021-06-14,Central,Engine,412.06
2021-06-14,Central,Miscellaneous,355.78
2021-06-14,West,Suspension & traction,292.26
2021-06-14,West,Miscellaneous,74.51
2021-06-14,Central,Breaking system,45.39
2021-06-14,Central,Frame & body,39.14
2021-06-13,North,Suspension & traction,288.96
2021-06-13,North,Frame & body,286.51
2021-06-13,Central,Frame & body,272.6
2021-06-13,Central,Electrical system,236.08
2021-06-13,North,Electrical system,209.43
2021-06-13,Central,Breaking system,167.2
2021-06-13,West,Miscellaneous,67.36
2021-06-13,Central,Miscellaneous,50.8
2021-06-12,West,Frame & body,1199.89
2021-06-12,Central,Suspension & traction,647.08
2021-06-12,North,Suspension & traction,397.78
2021-06-12,Central,Electrical system,329.0
2021-06-12,North,Breaking system,237.39
2021-06-12,Central,Frame & body,223.01
2021-06-12,Central,Breaking system,222.08
2021-06-11,North,Miscellaneous,671.41
2021-06-11,Central,Breaking system,404.93
2021-06-11,North,Suspension & traction,246.52
2021-06-11,North,Frame & body,188.22
2021-06-11,West,Frame & body,95.72
2021-06-11,North,Breaking system,76.44
2021-06-10,North,Frame & body,1035.91
2021-06-10,West,Miscellaneous,782.94
2021-06-10,Central,Frame & body,378.37
2021-06-10,West,Frame & body,330.33
2021-06-10,North,Suspension & traction,228.38
2021-06-10,Central,Electrical system,221.51
2021-06-10,Central,Breaking system,151.5
2021-06-10,North,Engine,112.09
2021-06-09,Central,Breaking system,693.56
2021-06-09,Central,Suspension & traction,620.13
2021-06-09,West,Frame & body,492.4
2021-06-09,Central,Frame & body,282.47
2021-06-09,West,Electrical system,229.1
2021-06-09,North,Breaking system,73.78
2021-06-08,West,Breaking system,1345.83
2021-06-08,Central,Breaking system,1022.72
2021-06-08,Central,Miscellaneous,952.78
2021-06-08,West,Suspension & traction,541.39
2021-06-08,Central,Frame & body,477.36
2021-06-08,North,Frame & body,268.54
2021-06-08,West,Miscellaneous,208.62
2021-06-08,North,Electrical system,189.95
2021-06-08,Central,Suspension & traction,66.37
2021-06-07,Central,Suspension & traction,1145.47
2021-06-07,North,Frame & body,391.42
2021-06-07,Central,Breaking system,261.91
2021-06-07,North,Suspension & traction,257.31
2021-06-07,Central,Frame & body,178.75
2021-06-07,North,Electrical system,118.48
2021-06-07,Central,Miscellaneous,112.76
2021-06-07,West,Miscellaneous,53.61
2021-06-06,Central,Engine,2282.82
2021-06-06,North,Suspension & traction,1114.13
2021-06-06,West,Miscellaneous,282.47
2021-06-06,North,Frame & body,212.28
2021-06-06,North,Breaking system,183.78
2021-06-06,Central,Suspension & traction,141.46
2021-06-06,Central,Breaking system,87.79
2021-06-05,North,Electrical system,1041.41
2021-06-05,North,Suspension & traction,891.17
2021-06-05,West,Engine,442.04
2021-06-05,Central,Suspension & traction,278.07
2021-06-05,Central,Breaking system,138.29
2021-06-05,West,Breaking system,77.38
2021-06-05,Central,Miscellaneous,25.2
2021-06-04,North,Suspension & traction,309.23
2021-06-04,West,Electrical system,249.98
2021-06-04,Central,Frame & body,123.21
2021-06-04,North,Electrical system,100.81
2021-06-04,Central,Breaking system,79.14
2021-06-04,Central,Suspension & traction,37.03
